POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,Nationality,Player Link,Team,Season
35,Moeen Ali,11,10,2,220,66,27.5,133,165.41,0,2,16,17,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/1735/moeen-ali,Royal Challengers Bangalore,2019
36,David Miller,10,10,2,213,59,26.62,164,129.87,0,1,19,7,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/187/david-miller,Kings Xi Punjab,2019
37,Marcus Stoinis,10,10,6,211,46,52.75,156,135.25,0,0,14,10,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/964/marcus-stoinis,Royal Challengers Bangalore,2019
38,Colin Ingram,12,12,2,184,47,18.4,154,119.48,0,0,20,5,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/168/colin-ingram,Delhi Capitals,2019
39,Krunal Pandya,16,15,4,183,42,16.63,150,122.0,0,0,18,5,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/3183/krunal-pandya,Mumbai Indians,2019
40,Sarfaraz Khan,8,5,1,180,67,45.0,143,125.87,0,1,19,4,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/1564/sarfaraz-khan,Kings Xi Punjab,2019
41,Nicholas Pooran,7,6,0,168,48,28.0,107,157.0,0,0,10,14,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/1703/nicholas-pooran,Kings Xi Punjab,2019
42,Mandeep Singh,13,12,8,165,33,41.25,120,137.5,0,0,10,4,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/72/mandeep-singh,Kings Xi Punjab,2019
43,Kedar Jadhav,14,12,3,162,58,18.0,169,95.85,0,1,19,3,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/297/kedar-jadhav,Chennai Super Kings,2019
44,Riyan Parag,7,5,0,160,50,32.0,126,126.98,0,1,17,5,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/4445/riyan-parag,Rajasthan Royals,2019
45,Kane Williamson,9,9,2,156,70,22.28,130,120.0,0,1,12,5,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/440/kane-williamson,Sunrisers Hyderabad,2019
46,Sunil Narine,12,9,1,143,47,17.87,86,166.27,0,0,17,9,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/203/sunil-narine,Kolkata Knight Riders,2019
47,Rahul Tripathi,8,7,1,141,50,23.5,118,119.49,0,1,13,2,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/3838/rahul-tripathi,Rajasthan Royals,2019
48,Ben Stokes,9,9,3,123,46,20.5,99,124.24,0,0,8,4,Overseas,https://www.iplt20.com/teams/rajasthan-royals/squad/1154/ben-stokes,Rajasthan Royals,2019
49,Mohammad Nabi,8,7,1,115,31,19.16,76,151.31,0,0,8,7,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/618/mohammad-nabi,Sunrisers Hyderabad,2019
50,Axar Patel,14,12,6,110,26,18.33,88,125.0,0,0,10,3,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/1113/axar-patel,Delhi Capitals,2019
51,Ravindra Jadeja,16,9,6,106,31,35.33,88,120.45,0,0,7,4,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/9/ravindra-jadeja,Chennai Super Kings,2019
52,Ishan Kishan,7,6,0,101,28,16.83,100,101.0,0,0,8,4,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/2975/ishan-kishan,Mumbai Indians,2019
53,Yuvraj Singh,4,4,0,98,53,24.5,75,130.66,0,1,7,6,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/113/yuvraj-singh,Mumbai Indians,2019
54,Gurkeerat Mann Singh,3,3,0,98,65,32.66,70,140.0,0,1,11,2,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/253/gurkeerat-mann-singh,Royal Challengers Bangalore,2019
55,Sam Curran,9,8,4,95,55,23.75,55,172.72,0,1,13,3,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/2939/sam-curran,Kings Xi Punjab,2019
56,Shimron Hetmyer,5,5,0,90,75,18.0,73,123.28,0,1,4,7,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/1705/shimron-hetmyer,Royal Challengers Bangalore,2019
57,Wriddhiman Saha,5,5,0,86,28,17.2,53,162.26,0,0,13,1,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/16/wriddhiman-saha,Sunrisers Hyderabad,2019
58,Colin Munro,4,4,0,84,40,21.0,70,120.0,0,0,9,4,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/773/colin-munro,Delhi Capitals,2019
59,Martin Guptill,3,3,0,81,36,27.0,53,152.83,0,0,4,7,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/431/martin-guptill,Sunrisers Hyderabad,2019
60,Dwayne Bravo,12,9,4,80,27,16.0,66,121.21,0,0,6,3,Overseas,https://www.iplt20.com/teams/chennai-super-kings/squad/25/dwayne-bravo,Chennai Super Kings,2019
61,Sherfane Rutherford,7,7,2,73,28,14.6,54,135.18,0,0,2,7,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/5396/sherfane-rutherford,Delhi Capitals,2019
62,Liam Livingstone,4,4,1,71,44,23.66,48,147.91,0,0,6,5,Overseas,https://www.iplt20.com/teams/rajasthan-royals/squad/3644/liam-livingstone,Rajasthan Royals,2019
63,Stuart Binny,8,5,2,70,33,23.33,40,175.0,0,0,5,4,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/148/stuart-binny,Rajasthan Royals,2019
64,Jofra Archer,11,5,3,67,27,33.5,40,167.5,0,0,4,4,Overseas,https://www.iplt20.com/teams/rajasthan-royals/squad/3502/jofra-archer,Rajasthan Royals,2019
65,Deepak Hooda,11,7,1,64,20,10.66,63,101.58,0,0,5,1,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/1556/deepak-hooda,Sunrisers Hyderabad,2019
66,Murali Vijay,2,2,0,64,38,32.0,61,104.91,0,0,6,1,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/7/murali-vijay,Chennai Super Kings,2019
67,Shreyas Gopal,14,7,3,63,19,15.75,46,136.95,0,0,8,1,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/1748/shreyas-gopal,Rajasthan Royals,2019
68,Akshdeep Nath,8,5,0,61,24,12.2,57,107.01,0,0,5,2,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/3177/akshdeep-nath,Royal Challengers Bangalore,2019
69,Evin Lewis,3,3,0,48,32,16.0,52,92.3,0,0,4,2,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/872/evin-lewis,Mumbai Indians,2019
70,Colin de Grandhomme,4,4,1,46,37,15.33,49,93.87,0,0,4,2,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/820/colin-de-grandhomme,Royal Challengers Bangalore,2019
71,Piyush Chawla,13,5,2,42,14,14.0,37,113.51,0,0,4,2,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/76/piyush-chawla,Kolkata Knight Riders,2019
72,Ravichandran Ashwin,14,6,1,42,17,8.4,28,150.0,0,0,3,3,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/8/ravichandran-ashwin,Kings Xi Punjab,2019
73,Shivam Dube,4,4,1,40,24,13.33,33,121.21,0,0,1,3,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/5431/shivam-dube,Royal Challengers Bangalore,2019
74,Yusuf Pathan,10,8,5,40,16,13.33,45,88.88,0,0,1,1,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/96/yusuf-pathan,Sunrisers Hyderabad,2019
75,Rinku Singh,5,3,1,37,30,18.5,34,108.82,0,0,1,2,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/3830/rinku-singh,Kolkata Knight Riders,2019
76,Rashid Khan,15,8,3,34,17,6.8,23,147.82,0,0,2,2,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/2885/rashid-khan,Sunrisers Hyderabad,2019
77,Chris Morris,9,6,0,32,17,5.33,37,86.48,0,0,1,2,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/836/chris-morris,Delhi Capitals,2019
78,Mitchell Santner,4,2,1,32,22,32.0,23,139.13,0,0,0,3,Overseas,https://www.iplt20.com/teams/chennai-super-kings/squad/1903/mitchell-santner,Chennai Super Kings,2019
79,Rahul Tewatia,5,4,3,26,11,26.0,22,118.18,0,0,2,1,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/1749/rahul-tewatia,Delhi Capitals,2019
80,Umesh Yadav,11,7,5,25,14,12.5,25,100.0,0,0,3,1,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/59/umesh-yadav,Royal Challengers Bangalore,2019
81,Amit Mishra,11,4,2,21,8,10.5,24,87.5,0,0,2,0,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/30/amit-mishra,Delhi Capitals,2019
82,Harpreet Brar,2,1,1,20,20,0.0,12,166.66,0,0,2,1,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/5441/harpreet-brar,Kings Xi Punjab,2019
83,Prayas Ray Barman,1,1,0,19,19,19.0,24,79.16,0,0,2,0,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/5439/prayas-ray-barman,Royal Challengers Bangalore,2019
84,Keemo Paul,8,6,1,18,7,3.6,24,75.0,0,0,1,1,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/3101/keemo-paul,Delhi Capitals,2019
85,Ben Cutting,3,3,1,18,13,9.0,17,105.88,0,0,1,1,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/913/ben-cutting,Mumbai Indians,2019
86,Krishnappa Gowtham,7,4,1,18,9,6.0,19,94.73,0,0,1,1,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/3834/krishnappa-gowtham,Rajasthan Royals,2019
87,Simran Singh,1,1,0,16,16,16.0,17,94.11,0,0,1,1,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/5436/simran-singh,Kings Xi Punjab,2019
88,Alzarri Joseph,3,2,2,15,15,0.0,13,115.38,0,0,2,0,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/3098/alzarri-joseph,Mumbai Indians,2019
89,Siddhesh Lad,1,1,0,15,15,15.0,13,115.38,0,0,1,1,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/2739/siddhesh-lad,Mumbai Indians,2019
90,Shardul Thakur,10,3,1,14,12,7.0,7,200.0,0,0,1,1,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/1745/shardul-thakur,Chennai Super Kings,2019
91,Kagiso Rabada,12,4,1,14,9,4.66,15,93.33,0,0,0,1,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/1664/kagiso-rabada,Delhi Capitals,2019
92,Bhuvneshwar Kumar,15,5,2,12,7,4.0,19,63.15,0,0,1,0,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/116/bhuvneshwar-kumar,Sunrisers Hyderabad,2019
93,Kuldeep Yadav,9,4,2,12,10,6.0,8,150.0,0,0,1,0,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/261/kuldeep-yadav,Kolkata Knight Riders,2019
94,Rahul Chahar,13,4,2,12,10,6.0,11,109.09,0,0,2,0,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/3763/rahul-chahar,Mumbai Indians,2019
95,Mitchell McClenaghan,5,4,1,11,10,3.66,16,68.75,0,0,2,0,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/730/mitchell-mcclenaghan,Mumbai Indians,2019
96,Carlos Brathwaite,2,2,0,11,6,5.5,10,110.0,0,0,1,0,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/2722/carlos-brathwaite,Kolkata Knight Riders,2019
97,Ishant Sharma,13,3,3,10,10,0.0,3,333.33,0,0,1,1,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/38/ishant-sharma,Delhi Capitals,2019
98,Shakib Al Hasan,3,1,0,9,9,9.0,10,90.0,0,0,0,0,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/201/shakib-al-hasan,Sunrisers Hyderabad,2019
99,Pawan Negi,7,4,0,9,5,2.25,12,75.0,0,0,1,0,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/53/pawan-negi,Royal Challengers Bangalore,2019
100,Tim Southee,3,1,1,9,9,0.0,9,100.0,0,0,0,0,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/307/tim-southee,Royal Challengers Bangalore,2019
1,Kane Williamson,17,17,3,735,84,52.5,516,142.44,0,8,64,28,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/440/kane-williamson,Sunrisers Hyderabad,2018
2,Rishabh Pant,14,14,1,684,128,52.61,394,173.6,1,5,68,37,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/2972/rishabh-pant,Delhi Capitals,2018
3,KL Rahul,14,14,2,659,95,54.91,416,158.41,0,6,66,32,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/1125/kl-rahul,Kings Xi Punjab,2018
4,Ambati Rayudu,16,16,2,602,100,43.0,402,149.75,1,3,53,34,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/100/ambati-rayudu,Chennai Super Kings,2018
5,Shane Watson,15,15,1,555,117,39.64,359,154.59,2,2,44,35,Overseas,https://www.iplt20.com/teams/chennai-super-kings/squad/227/shane-watson,Chennai Super Kings,2018
6,Jos Buttler,13,13,3,548,95,54.8,353,155.24,0,5,52,21,Overseas,https://www.iplt20.com/teams/rajasthan-royals/squad/509/jos-buttler,Rajasthan Royals,2018
7,Virat Kohli,14,14,3,530,92,48.18,381,139.1,0,4,52,18,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/164/virat-kohli,Royal Challengers Bangalore,2018
8,Suryakumar Yadav,14,14,0,512,72,36.57,384,133.33,0,4,61,16,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/108/suryakumar-yadav,Mumbai Indians,2018
9,Dinesh Karthik,16,16,6,498,52,49.8,337,147.77,0,2,49,16,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/102/dinesh-karthik,Kolkata Knight Riders,2018
10,Shikhar Dhawan,16,16,3,497,92,38.23,363,136.91,0,4,59,14,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/41/shikhar-dhawan,Sunrisers Hyderabad,2018
11,Chris Lynn,16,16,1,491,74,32.73,377,130.23,0,3,56,18,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/179/chris-lynn,Kolkata Knight Riders,2018
12,AB de Villiers,12,11,2,480,90,53.33,275,174.54,0,6,39,30,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/233/ab-de-villiers,Royal Challengers Bangalore,2018
13,MS Dhoni,16,15,9,455,79,75.83,302,150.66,0,3,24,30,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/1/ms-dhoni,Chennai Super Kings,2018
14,Suresh Raina,15,15,3,445,75,37.08,336,132.44,0,4,46,12,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/14/suresh-raina,Chennai Super Kings,2018
15,Sanju Samson,15,15,1,441,92,31.5,320,137.81,0,3,30,19,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/258/sanju-samson,Rajasthan Royals,2018
16,Shreyas Iyer,14,14,3,411,93,37.36,310,132.58,0,4,29,21,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/1563/shreyas-iyer,Delhi Capitals,2018
17,Evin Lewis,13,13,0,382,65,29.38,276,138.4,0,2,32,24,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/872/evin-lewis,Mumbai Indians,2018
18,Ajinkya Rahane,15,14,1,370,65,28.46,313,118.21,0,1,39,5,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/135/ajinkya-rahane,Rajasthan Royals,2018
19,Chris Gayle,11,11,2,368,104,40.88,252,146.03,1,3,30,27,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/236/chris-gayle,Kings Xi Punjab,2018
20,Sunil Narine,16,16,0,357,75,22.31,188,189.89,0,2,40,23,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/203/sunil-narine,Kolkata Knight Riders,2018
21,Robin Uthappa,16,16,0,351,54,21.93,265,132.45,0,1,30,21,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/127/robin-uthappa,Kolkata Knight Riders,2018
22,Andre Russell,16,14,3,316,88,28.72,171,184.79,0,1,17,31,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/177/andre-russell,Kolkata Knight Riders,2018
23,Nitish Rana,15,15,2,304,59,23.38,232,131.03,0,1,26,14,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/2738/nitish-rana,Kolkata Knight Riders,2018
24,Karun Nair,13,12,0,301,54,25.08,221,136.19,0,2,23,13,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/276/karun-nair,Kings Xi Punjab,2018
25,Rohit Sharma,14,14,2,286,94,23.83,215,133.02,0,2,25,12,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/107/rohit-sharma,Mumbai Indians,2018
26,Manish Pandey,15,13,2,284,62,25.81,246,115.44,0,3,22,5,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/123/manish-pandey,Sunrisers Hyderabad,2018
27,Ishan Kishan,14,12,0,275,62,22.91,184,149.45,0,2,22,17,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/2975/ishan-kishan,Mumbai Indians,2018
28,Hardik Pandya,13,13,4,260,50,28.88,195,133.33,0,1,20,11,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/2740/hardik-pandya,Mumbai Indians,2018
29,Yusuf Pathan,15,13,4,260,45,28.88,200,130.0,0,0,22,11,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/96/yusuf-pathan,Sunrisers Hyderabad,2018
30,Mandeep Singh,14,13,3,252,47,25.2,186,135.48,0,0,16,11,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/72/mandeep-singh,Royal Challengers Bangalore,2018
31,Prithvi Shaw,9,9,0,245,65,27.22,160,153.12,0,2,27,10,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/3764/prithvi-shaw,Delhi Capitals,2018
32,Shakib Al Hasan,17,13,2,239,35,21.72,197,121.31,0,0,26,5,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/201/shakib-al-hasan,Sunrisers Hyderabad,2018
33,Krunal Pandya,14,13,3,228,41,22.8,157,145.22,0,0,22,10,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/3183/krunal-pandya,Mumbai Indians,2018
34,Rahul Tripathi,12,12,3,226,80,25.11,167,135.32,0,1,18,8,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/3838/rahul-tripathi,Rajasthan Royals,2018
35,Vijay Shankar,13,11,7,212,54,53.0,148,143.24,0,1,11,11,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/1083/vijay-shankar,Delhi Capitals,2018
36,Shubman Gill,13,11,5,203,57,33.83,139,146.04,0,1,22,5,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/3761/shubman-gill,Kolkata Knight Riders,2018
37,Quinton de Kock,8,8,0,201,53,25.12,162,124.07,0,1,20,8,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/834/quinton-de-kock,Royal Challengers Bangalore,2018
38,Ben Stokes,13,13,1,196,45,16.33,161,121.73,0,0,13,6,Overseas,https://www.iplt20.com/teams/rajasthan-royals/squad/1154/ben-stokes,Rajasthan Royals,2018
39,Glenn Maxwell,12,12,0,169,47,14.08,120,140.83,0,0,14,9,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/282/glenn-maxwell,Delhi Capitals,2018
40,Faf du Plessis,6,6,1,162,67,32.4,129,125.58,0,1,17,6,Overseas,https://www.iplt20.com/teams/chennai-super-kings/squad/24/faf-du-plessis,Chennai Super Kings,2018
41,Parthiv Patel,6,6,1,153,53,30.6,109,140.36,0,1,20,4,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/44/parthiv-patel,Royal Challengers Bangalore,2018
42,Alex Hales,6,6,0,148,45,24.66,118,125.42,0,0,13,6,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/511/alex-hales,Sunrisers Hyderabad,2018
43,Dwayne Bravo,16,10,6,141,68,35.25,91,154.94,0,1,8,10,Overseas,https://www.iplt20.com/teams/chennai-super-kings/squad/25/dwayne-bravo,Chennai Super Kings,2018
44,Aaron Finch,10,9,1,134,46,16.75,100,134.0,0,0,6,8,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/167/aaron-finch,Kings Xi Punjab,2018
45,Kieron Pollard,9,8,1,133,50,19.0,100,133.0,0,1,10,7,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/210/kieron-pollard,Mumbai Indians,2018
46,Colin de Grandhomme,9,8,3,131,40,26.2,84,155.95,0,0,4,10,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/820/colin-de-grandhomme,Royal Challengers Bangalore,2018
47,Brendon McCullum,6,6,0,127,43,21.16,88,144.31,0,0,16,6,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/202/brendon-mccullum,Royal Challengers Bangalore,2018
48,Krishnappa Gowtham,15,13,4,126,33,14.0,64,196.87,0,0,9,9,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/3834/krishnappa-gowtham,Rajasthan Royals,2018
49,Wriddhiman Saha,11,10,2,122,35,15.25,102,119.6,0,0,17,1,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/16/wriddhiman-saha,Sunrisers Hyderabad,2018
50,Mayank Agarwal,11,11,1,120,30,12.0,94,127.65,0,0,9,5,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/158/mayank-agarwal,Kings Xi Punjab,2018
51,Jason Roy,5,5,1,120,91,30.0,94,127.65,0,1,9,7,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/1906/jason-roy,Delhi Capitals,2018
52,D'Arcy Short,7,7,0,115,44,16.42,99,116.16,0,0,11,5,Overseas,,Nan,2018
53,Sam Billings,10,8,0,108,56,13.5,78,138.46,0,1,8,5,Overseas,https://www.iplt20.com/teams/chennai-super-kings/squad/2756/sam-billings,Chennai Super Kings,2018
54,Ravichandran Ashwin,14,9,1,102,45,12.75,71,143.66,0,0,7,5,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/8/ravichandran-ashwin,Kings Xi Punjab,2018
55,Marcus Stoinis,7,7,3,99,29,24.75,76,130.26,0,0,6,4,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/964/marcus-stoinis,Kings Xi Punjab,2018
56,Ben Cutting,9,6,2,96,37,24.0,58,165.51,0,0,5,8,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/913/ben-cutting,Mumbai Indians,2018
57,Ravindra Jadeja,16,10,5,89,27,17.8,74,120.27,0,0,3,4,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/9/ravindra-jadeja,Chennai Super Kings,2018
58,Deepak Hooda,9,8,4,87,32,21.75,81,107.4,0,0,2,3,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/1556/deepak-hooda,Sunrisers Hyderabad,2018
59,Gautam Gambhir,6,5,0,85,55,17.0,88,96.59,0,1,8,1,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/84/gautam-gambhir,Delhi Capitals,2018
60,Axar Patel,9,8,2,80,19,13.33,69,115.94,0,0,3,4,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/1113/axar-patel,Kings Xi Punjab,2018
61,Moeen Ali,5,4,0,77,65,19.25,46,167.39,0,1,4,6,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/1735/moeen-ali,Royal Challengers Bangalore,2018
62,Carlos Brathwaite,4,4,1,75,43,25.0,48,156.25,0,0,1,8,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/2722/carlos-brathwaite,Sunrisers Hyderabad,2018
63,David Miller,3,3,1,74,26,37.0,64,115.62,0,0,3,2,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/187/david-miller,Kings Xi Punjab,2018
64,Yuvraj Singh,8,6,0,65,20,10.83,73,89.04,0,0,6,2,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/113/yuvraj-singh,Kings Xi Punjab,2018
65,Washington Sundar,7,6,3,65,35,21.66,38,171.05,0,0,5,4,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/2973/washington-sundar,Royal Challengers Bangalore,2018
66,Colin Munro,5,5,0,63,33,12.6,41,153.65,0,0,7,4,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/773/colin-munro,Delhi Capitals,2018
67,Abhishek Sharma,3,3,2,63,46,63.0,33,190.9,0,0,3,5,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/3760/abhishek-sharma,Delhi Capitals,2018
68,Harshal Patel,5,2,1,60,36,60.0,33,181.81,0,0,1,6,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/157/harshal-patel,Delhi Capitals,2018
69,Rashid Khan,17,7,2,59,34,11.8,31,190.32,0,0,3,6,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/2885/rashid-khan,Sunrisers Hyderabad,2018
70,Heinrich Klaasen,4,4,1,57,32,19.0,47,121.27,0,0,5,1,Overseas,https://www.iplt20.com/teams/rajasthan-royals/squad/3869/heinrich-klaasen,Rajasthan Royals,2018
71,Manan Vohra,4,4,0,55,45,13.75,47,117.02,0,0,2,4,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/1085/manan-vohra,Royal Challengers Bangalore,2018
72,Tim Southee,8,4,2,52,36,26.0,46,113.04,0,0,5,1,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/307/tim-southee,Royal Challengers Bangalore,2018
73,Shreevats Goswami,6,3,0,52,35,17.33,40,130.0,0,0,6,1,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/95/shreevats-goswami,Sunrisers Hyderabad,2018
74,Sarfaraz Khan,7,6,1,51,22,10.2,41,124.39,0,0,7,1,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/1564/sarfaraz-khan,Royal Challengers Bangalore,2018
75,Deepak Chahar,12,4,1,50,39,16.66,29,172.41,0,0,1,4,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/140/deepak-chahar,Chennai Super Kings,2018
76,Rahul Tewatia,8,5,2,50,24,16.66,43,116.27,0,0,5,1,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/1749/rahul-tewatia,Delhi Capitals,2018
77,Shreyas Gopal,11,4,1,50,24,16.66,45,111.11,0,0,5,0,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/1748/shreyas-gopal,Rajasthan Royals,2018
78,Jaydev Unadkat,15,7,3,49,26,12.25,38,128.94,0,0,6,1,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/86/jaydev-unadkat,Rajasthan Royals,2018
79,Manoj Tiwary,5,4,1,47,35,15.66,44,106.81,0,0,4,1,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/89/manoj-tiwary,Kings Xi Punjab,2018
80,Chris Morris,4,4,3,46,27,46.0,26,176.92,0,0,3,2,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/836/chris-morris,Delhi Capitals,2018
81,Stuart Binny,7,5,0,44,22,8.8,39,112.82,0,0,2,2,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/148/stuart-binny,Rajasthan Royals,2018
