POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w,Nationality,Player Link,Team
54,Trent Boult,36,36,138.5,1207,43,3/19,28.06,8.69,19.37,0,0,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/969/trent-boult,Mumbai Indians
55,Harshal Patel,43,41,139.2,1215,43,3/28,28.25,8.72,19.44,0,0,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/157/harshal-patel,Delhi Capitals
56,Yusuf Pathan,174,82,191.1,1415,42,3/20,33.69,7.4,27.3,0,0,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/96/yusuf-pathan,Sunrisers Hyderabad
57,Shahbaz Nadeem,64,62,209.5,1570,42,3/16,37.38,7.48,29.97,0,0,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/57/shahbaz-nadeem,Sunrisers Hyderabad
58,Varun Aaron,47,45,152.4,1335,42,3/16,31.78,8.74,21.8,0,0,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/61/varun-aaron,Rajasthan Royals
59,Hardik Pandya,69,60,144.5,1313,42,3/20,31.26,9.06,20.69,0,0,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/2740/hardik-pandya,Mumbai Indians
60,Krunal Pandya,58,56,165.2,1198,41,3/14,29.21,7.24,24.19,0,0,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/3183/krunal-pandya,Mumbai Indians
61,Rahul Sharma,44,44,154.4,1086,40,3/13,27.15,7.02,23.2,0,0,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/126/rahul-sharma,Chennai Super Kings
62,Iqbal Abdulla,49,48,153.2,1109,40,3/24,27.72,7.23,23.0,0,0,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/85/iqbal-abdulla,Royal Challengers Bangalore
63,Shanthakumaran Sreesanth,44,44,146.4,1194,40,3/29,29.85,8.14,22.0,0,0,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/150/shanthakumaran-sreesanth,Rajasthan Royals
64,Shreyas Gopal,33,32,106.1,819,39,4/16,21.0,7.71,16.33,1,0,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/1748/shreyas-gopal,Rajasthan Royals
65,Parvinder Awana,33,33,124.3,1029,39,4/34,26.38,8.26,19.15,1,0,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/254/parvinder-awana,Kings Xi Punjab
66,Andrew Tye,26,26,99.0,822,39,5/17,21.07,8.3,15.23,3,1,Overseas,https://www.iplt20.com/teams/rajasthan-royals/squad/1480/andrew-tye,Rajasthan Royals
67,Kuldeep Yadav,42,41,143.2,1198,39,4/20,30.71,8.35,22.05,1,0,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/261/kuldeep-yadav,Kolkata Knight Riders
68,Kagiso Rabada,21,21,80.2,631,38,4/21,16.6,7.85,12.68,2,0,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/1664/kagiso-rabada,Delhi Capitals
69,Moises Henriques,57,55,148.2,1244,38,3/16,32.73,8.38,23.42,0,0,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/388/moises-henriques,Kings Xi Punjab
70,Doug Bollinger,27,27,96.0,693,37,4/13,18.72,7.21,15.56,1,0,Overseas,https://www.iplt20.com/teams/chennai-super-kings/squad/18/doug-bollinger,Chennai Super Kings
71,Manpreet Gony,44,44,148.0,1287,37,3/31,34.78,8.69,24.0,0,0,Indian,,Nan
72,Yuvraj Singh,132,73,144.5,1077,36,4/29,29.91,7.43,24.13,2,0,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/113/yuvraj-singh,Mumbai Indians
73,Nathan Coulter-Nile,26,25,93.5,719,36,4/20,19.97,7.66,15.63,1,0,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/840/nathan-coulter-nile,Mumbai Indians
74,Deepak Chahar,37,37,126.4,976,36,3/15,27.11,7.7,21.11,0,0,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/140/deepak-chahar,Chennai Super Kings
75,Shardul Thakur,36,35,117.5,1065,36,3/19,29.58,9.03,19.63,0,0,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/1745/shardul-thakur,Chennai Super Kings
76,Pradeep Sangwan,39,39,133.4,1175,35,3/18,33.57,8.79,22.91,0,0,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/91/pradeep-sangwan,Mumbai Indians
77,Mitchell Starc,27,26,96.4,693,34,4/15,20.38,7.16,17.05,1,0,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/490/mitchell-starc,Royal Challengers Bangalore
78,Pawan Negi,50,42,119.2,939,34,4/18,27.61,7.86,21.05,1,0,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/53/pawan-negi,Royal Challengers Bangalore
79,Dan Christian,40,40,130.3,1037,34,2/10,30.5,7.94,23.02,0,0,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/181/dan-christian,Delhi Capitals
80,Kevon Cooper,25,25,96.0,757,33,4/26,22.93,7.88,17.45,1,0,Overseas,https://www.iplt20.com/teams/rajasthan-royals/squad/232/kevon-cooper,Rajasthan Royals
81,Murali Kartik,56,55,191.3,1388,31,3/17,44.77,7.24,37.06,0,0,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/125/murali-kartik,Kings Xi Punjab
82,Thisara Perera,37,36,116.2,1016,31,3/20,32.77,8.73,22.51,0,0,Overseas,,Nan
83,Azhar Mahmood,23,23,89.3,700,29,3/20,24.13,7.82,18.51,0,0,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/194/azhar-mahmood,Kolkata Knight Riders
84,Ajit Agarkar,42,42,130.2,1151,29,3/25,39.68,8.83,26.96,0,0,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/47/ajit-agarkar,Delhi Capitals
85,Daniel Vettori,34,34,129.3,879,28,3/15,31.39,6.78,27.75,0,0,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/243/daniel-vettori,Royal Challengers Bangalore
86,Dirk Nannes,29,29,107.4,785,28,3/27,28.03,7.29,23.07,0,0,Overseas,https://www.iplt20.com/teams/chennai-super-kings/squad/237/dirk-nannes,Chennai Super Kings
87,Pravin Tambe,33,33,110.0,853,28,4/20,30.46,7.75,23.57,1,0,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/1114/pravin-tambe,Sunrisers Hyderabad
