Date,Ground / Location,Match Number,Team A,Team B,winner,Wins By Runs,Wins By Wickets,Season
2017-04-14,"Bengaluru, Bangalore",12th Match, Royal Challengers Bangalore , Mumbai Indians,Mumbai Indians,0,4,2017
2017-04-14,"Khandheri, Rajkot",13th Match, Gujarat Lions , Rising Pune Supergiant,Gujarat Lions,0,7,2017
2017-04-15,Kolkata,14th Match, Kolkata Knight Riders , Sunrisers Hyderabad,Kolkata Knight Riders,17,0,2017
2017-04-15,Delhi,15th Match, Delhi Capitals , Kings XI Punjab,Delhi Capitals,51,0,2017
2017-04-16,Mumbai,16th Match, Mumbai Indians , Gujarat Lions,Mumbai Indians,0,6,2017
2017-04-16,"Bengaluru, Bangalore",17th Match, Royal Challengers Bangalore , Rising Pune Supergiant,Rising Pune Supergiant,27,0,2017
2017-04-17,Delhi,18th Match, Delhi Capitals , Kolkata Knight Riders,Kolkata Knight Riders,0,4,2017
2017-04-17,Hyderabad,19th Match, Sunrisers Hyderabad , Kings XI Punjab,Sunrisers Hyderabad,5,0,2017
2017-04-18,"Khandheri, Rajkot",20th Match, Gujarat Lions , Royal Challengers Bangalore,Royal Challengers Bangalore,21,0,2017
2017-04-19,Hyderabad,21st Match, Sunrisers Hyderabad , Delhi Capitals,Sunrisers Hyderabad,15,0,2017
2017-04-20,Indore,22nd Match, Kings XI Punjab , Mumbai Indians,Mumbai Indians,0,8,2017
2017-04-21,Kolkata,23rd Match, Kolkata Knight Riders , Gujarat Lions,Gujarat Lions,0,4,2017
2017-04-22,Pune,24th Match, Sunrisers Hyderabad , Rising Pune Supergiant,Rising Pune Supergiant,0,6,2017
2017-04-22,Mumbai,25th Match, Mumbai Indians , Delhi Capitals,Mumbai Indians,14,0,2017
2017-04-22,"Khandheri, Rajkot",26th Match, Kings XI Punjab , Gujarat Lions,Kings XI Punjab,26,0,2017
2017-04-23,Kolkata,27th Match, Kolkata Knight Riders , Royal Challengers Bangalore,Kolkata Knight Riders,82,0,2017
