POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w,Nationality,Player Link,Team,Dots,Maid,Season
93,Tejas Baroka,1,1,3.3,33,0,0,0.0,9.42,0.0,0,0,Indian,0,Nan,6.0,0.0,2017
94,Ishant Sharma,6,6,18.0,179,0,0,0.0,9.94,0.0,0,0,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/38/ishant-sharma,Kings Xi Punjab,32.0,0.0,2017
95,Shakib Al Hasan,1,1,3.0,31,0,0,0.0,10.33,0.0,0,0,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/201/shakib-al-hasan,Kolkata Knight Riders,5.0,0.0,2017
96,Shadab Jakati,2,2,5.0,52,0,0,0.0,10.4,0.0,0,0,Indian,0,Nan,4.0,0.0,2017
97,Angelo Mathews,3,2,5.0,56,0,0,0.0,11.2,0.0,0,0,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/217/angelo-mathews,Delhi Capitals,3.0,0.0,2017
98,Marlon Samuels,5,2,3.0,34,0,0,0.0,11.33,0.0,0,0,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/272/marlon-samuels,Delhi Capitals,5.0,0.0,2017
99,Rahul Tripathi,14,1,1.0,12,0,0,0.0,12.0,0.0,0,0,Indian,0,Nan,0.0,0.0,2017
100,Mustafizur Rahman,1,1,2.4,34,0,0,0.0,12.75,0.0,0,0,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/1594/mustafizur-rahman,Sunrisers Hyderabad,3.0,0.0,2017
1,Bhuvneshwar Kumar,17,17,66.0,490,23,0,21.3,7.42,17.21,1,0,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/116/bhuvneshwar-kumar,Sunrisers Hyderabad,156.0,3.0,2016
2,Yuzvendra Chahal,13,13,49.1,401,21,0,19.09,8.15,14.04,1,0,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/111/yuzvendra-chahal,Royal Challengers Bangalore,100.0,0.0,2016
3,Shane Watson,16,16,56.3,485,20,0,24.25,8.58,16.95,1,0,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/227/shane-watson,Royal Challengers Bangalore,121.0,0.0,2016
4,Dhawal Kulkarni,14,14,49.0,364,18,0,20.22,7.42,16.33,1,0,Indian,0,Nan,130.0,4.0,2016
5,Mustafizur Rahman,16,16,61.0,421,17,0,24.76,6.9,21.52,0,0,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/1594/mustafizur-rahman,Sunrisers Hyderabad,137.0,1.0,2016
6,Mitchell McClenaghan,14,14,53.2,436,17,0,25.64,8.17,18.82,1,0,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/730/mitchell-mcclenaghan,Mumbai Indians,128.0,0.0,2016
7,Dwayne Bravo,15,15,56.0,494,17,0,29.05,8.82,19.76,1,0,Overseas,0,Nan,93.0,0.0,2016
8,Sandeep Sharma,14,14,50.0,366,15,0,24.4,7.32,20.0,0,0,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/1112/sandeep-sharma,Kings Xi Punjab,127.0,1.0,2016
9,Jasprit Bumrah,14,14,52.0,406,15,0,27.06,7.8,20.8,0,0,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/1124/jasprit-bumrah,Mumbai Indians,108.0,0.0,2016
10,Andre Russell,12,12,36.3,291,15,0,19.4,7.97,14.6,1,0,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/177/andre-russell,Kolkata Knight Riders,90.0,0.0,2016
11,Barinder Sran,14,14,49.3,413,14,0,29.5,8.34,21.21,0,0,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/2746/barinder-sran,Sunrisers Hyderabad,107.0,0.0,2016
12,Chris Morris,12,12,44.0,308,13,0,23.69,7.0,20.3,0,0,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/836/chris-morris,Delhi Capitals,102.0,0.0,2016
13,Amit Mishra,14,14,46.0,344,13,0,26.46,7.47,21.23,1,0,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/30/amit-mishra,Delhi Capitals,93.0,0.0,2016
14,Axar Patel,14,14,47.5,388,13,0,29.84,8.11,22.07,1,0,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/1113/axar-patel,Kings Xi Punjab,91.0,0.0,2016
15,Mohit Sharma,14,14,48.3,407,13,0,31.3,8.39,22.38,0,0,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/1107/mohit-sharma,Kings Xi Punjab,97.0,0.0,2016
16,Adam Zampa,5,5,17.0,115,12,0,9.58,6.76,8.5,0,1,Overseas,0,Nan,32.0,0.0,2016
17,Moises Henriques,17,17,52.0,415,12,0,34.58,7.98,26.0,0,0,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/388/moises-henriques,Sunrisers Hyderabad,89.0,0.0,2016
18,Sunil Narine,11,11,42.5,304,11,0,27.63,7.09,23.36,0,0,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/203/sunil-narine,Kolkata Knight Riders,110.0,0.0,2016
19,Sreenath Aravind,9,9,29.1,216,11,0,19.63,7.4,15.9,0,0,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/162/sreenath-aravind,Royal Challengers Bangalore,65.0,0.0,2016
20,Ashok Dinda,9,9,30.3,231,11,0,21.0,7.57,16.63,0,0,Indian,0,Nan,84.0,2.0,2016
21,Piyush Chawla,12,11,35.2,273,11,0,24.81,7.72,19.27,0,0,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/76/piyush-chawla,Kolkata Knight Riders,81.0,0.0,2016
22,Chris Jordan,9,9,28.0,258,11,0,23.45,9.21,15.27,1,0,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/1299/chris-jordan,Royal Challengers Bangalore,49.0,0.0,2016
23,Ravichandran Ashwin,14,14,44.0,319,10,0,31.9,7.25,26.4,1,0,Indian,0,Nan,93.0,0.0,2016
24,Zaheer Khan,12,12,43.4,337,10,0,33.7,7.71,26.2,0,0,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/165/zaheer-khan,Delhi Capitals,111.0,1.0,2016
25,Morne Morkel,10,10,35.3,297,10,0,29.7,8.36,21.3,0,0,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/169/morne-morkel,Kolkata Knight Riders,89.0,0.0,2016
26,Umesh Yadav,9,9,26.0,234,10,0,23.4,9.0,15.6,0,0,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/59/umesh-yadav,Kolkata Knight Riders,46.0,0.0,2016
27,Tim Southee,11,11,43.0,329,9,0,36.55,7.65,28.66,0,0,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/307/tim-southee,Mumbai Indians,99.0,0.0,2016
28,Ashish Nehra,8,8,26.0,199,9,0,22.11,7.65,17.33,0,0,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/115/ashish-nehra,Sunrisers Hyderabad,72.0,1.0,2016
29,Praveen Kumar,16,16,51.3,401,9,0,44.55,7.78,34.33,0,0,Indian,0,Nan,132.0,2.0,2016
30,Harbhajan Singh,14,14,49.0,392,9,0,43.55,8.0,32.66,0,0,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/103/harbhajan-singh,Mumbai Indians,83.0,0.0,2016
31,Thisara Perera,12,11,33.1,326,9,0,36.22,9.82,22.11,0,0,Overseas,0,Nan,56.0,0.0,2016
32,Ravindra Jadeja,15,14,40.1,311,8,0,38.87,7.74,30.12,0,0,Indian,0,Nan,71.0,0.0,2016
33,Marcus Stoinis,7,7,23.0,194,8,0,24.25,8.43,17.25,1,0,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/964/marcus-stoinis,Kings Xi Punjab,39.0,0.0,2016
34,Dwayne Smith,12,8,18.0,153,8,0,19.12,8.5,13.5,1,0,Overseas,0,Nan,40.0,0.0,2016
35,Carlos Brathwaite,8,8,23.1,189,7,0,27.0,8.15,19.85,0,0,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/2722/carlos-brathwaite,Delhi Capitals,41.0,0.0,2016
36,Murugan Ashwin,10,10,28.3,241,7,0,34.42,8.45,24.42,0,0,Indian,0,Nan,55.0,0.0,2016
37,Kane Richardson,4,4,14.0,136,7,0,19.42,9.71,12.0,0,0,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/798/kane-richardson,Royal Challengers Bangalore,34.0,0.0,2016
38,Rajat Bhatia,10,10,34.0,244,6,0,40.66,7.17,34.0,0,0,Indian,0,Nan,54.0,1.0,2016
39,Krunal Pandya,12,11,31.1,236,6,0,39.33,7.57,31.16,0,0,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/3183/krunal-pandya,Mumbai Indians,53.0,0.0,2016
40,Kuldeep Yadav,3,3,12.0,100,6,0,16.66,8.33,12.0,0,0,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/261/kuldeep-yadav,Kolkata Knight Riders,28.0,0.0,2016
41,Shivil Kaushik,7,7,23.0,192,6,0,32.0,8.34,23.0,0,0,Indian,0,Nan,48.0,0.0,2016
42,Iqbal Abdulla,8,8,25.0,213,6,0,35.5,8.52,25.0,0,0,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/85/iqbal-abdulla,Royal Challengers Bangalore,35.0,0.0,2016
43,Ben Cutting,4,4,11.1,80,5,0,16.0,7.16,13.4,0,0,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/913/ben-cutting,Sunrisers Hyderabad,23.0,0.0,2016
44,Shakib Al Hasan,10,9,31.0,243,5,0,48.6,7.83,37.2,0,0,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/201/shakib-al-hasan,Kolkata Knight Riders,58.0,0.0,2016
45,Imran Tahir,4,4,16.0,138,5,0,27.6,8.62,19.2,0,0,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/898/imran-tahir,Delhi Capitals,25.0,0.0,2016
46,Pravin Tambe,7,7,16.0,143,5,0,28.6,8.93,19.2,0,0,Indian,0,Nan,26.0,0.0,2016
47,Mohammad Shami,8,8,25.1,244,5,0,48.8,9.69,30.2,0,0,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/94/mohammad-shami,Delhi Capitals,39.0,0.0,2016
48,Mitchell Marsh,3,3,9.0,45,4,0,11.25,5.0,13.5,0,0,Overseas,0,Nan,28.0,0.0,2016
49,Brad Hogg,5,5,16.0,142,4,0,35.5,8.87,24.0,0,0,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/231/brad-hogg,Kolkata Knight Riders,31.0,1.0,2016
50,Vinay Kumar,3,3,9.0,64,3,0,21.33,7.11,18.0,0,0,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/166/vinay-kumar,Mumbai Indians,25.0,1.0,2016
51,Deepak Hooda,17,6,13.0,97,3,0,32.33,7.46,26.0,0,0,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/1556/deepak-hooda,Sunrisers Hyderabad,21.0,0.0,2016
52,Nathan Coulter-Nile,4,4,15.0,114,3,0,38.0,7.6,30.0,0,0,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/840/nathan-coulter-nile,Delhi Capitals,37.0,0.0,2016
53,Pradeep Sahu,5,5,17.3,146,3,0,48.66,8.34,35.0,0,0,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/2745/pradeep-sahu,Kings Xi Punjab,24.0,0.0,2016
54,Bipul Sharma,7,6,14.0,121,3,0,40.33,8.64,28.0,0,0,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/69/bipul-sharma,Sunrisers Hyderabad,21.0,0.0,2016
55,Ankit Rajpoot,4,4,11.0,98,3,0,32.66,8.9,22.0,0,0,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/1106/ankit-rajpoot,Kolkata Knight Riders,18.0,0.0,2016
56,Hardik Pandya,11,10,16.4,153,3,0,51.0,9.18,33.33,0,0,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/2740/hardik-pandya,Mumbai Indians,29.0,0.0,2016
57,Tabraiz Shamsi,4,4,16.0,147,3,0,49.0,9.18,32.0,0,0,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/3309/tabraiz-shamsi,Royal Challengers Bangalore,26.0,0.0,2016
58,RP Singh,4,4,12.0,111,3,0,37.0,9.25,24.0,0,0,Indian,0,Nan,29.0,0.0,2016
59,KC Cariappa,5,5,17.0,159,3,0,53.0,9.35,34.0,0,0,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/2743/kc-cariappa,Kings Xi Punjab,35.0,0.0,2016
60,Ishant Sharma,4,4,15.0,148,3,0,49.33,9.86,30.0,0,0,Indian,0,Nan,37.0,0.0,2016
61,Sachin Baby,11,2,1.4,8,2,0,4.0,4.8,5.0,0,0,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/1115/sachin-baby,Royal Challengers Bangalore,5.0,0.0,2016
62,John Hastings,2,2,6.4,37,2,0,18.5,5.55,20.0,0,0,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/748/john-hastings,Kolkata Knight Riders,22.0,1.0,2016
63,Chris Gayle,10,4,10.0,63,2,0,31.5,6.3,30.0,0,0,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/236/chris-gayle,Royal Challengers Bangalore,21.0,0.0,2016
64,Jayant Yadav,5,5,17.0,125,2,0,62.5,7.35,51.0,0,0,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/1740/jayant-yadav,Delhi Capitals,38.0,0.0,2016
65,Scott Boland,2,2,7.0,54,2,0,27.0,7.71,21.0,0,0,Overseas,0,Nan,14.0,0.0,2016
66,Gurkeerat Mann Singh,7,3,4.0,31,2,0,15.5,7.75,12.0,0,0,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/253/gurkeerat-mann-singh,Kings Xi Punjab,7.0,0.0,2016
67,JP Duminy,10,5,7.0,55,2,0,27.5,7.85,21.0,0,0,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/182/jp-duminy,Delhi Capitals,12.0,0.0,2016
68,Jason Holder,4,4,13.0,103,2,0,51.5,7.92,39.0,0,0,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/1075/jason-holder,Kolkata Knight Riders,27.0,0.0,2016
69,Rishi Dhawan,2,2,7.0,56,2,0,28.0,8.0,21.0,0,0,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/1088/rishi-dhawan,Kings Xi Punjab,12.0,0.0,2016
70,Shahbaz Nadeem,4,4,15.0,127,2,0,63.5,8.46,45.0,0,0,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/57/shahbaz-nadeem,Delhi Capitals,31.0,0.0,2016
71,Shadab Jakati,6,6,20.0,178,2,0,89.0,8.9,60.0,0,0,Indian,0,Nan,30.0,0.0,2016
72,Varun Aaron,8,8,23.4,227,2,0,113.5,9.59,71.0,0,0,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/61/varun-aaron,Royal Challengers Bangalore,48.0,0.0,2016
73,Mitchell Johnson,3,3,11.0,106,2,0,53.0,9.63,33.0,0,0,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/213/mitchell-johnson,Kings Xi Punjab,21.0,0.0,2016
74,James Faulkner,7,7,17.0,167,2,0,83.5,9.82,51.0,0,0,Overseas,0,Nan,21.0,0.0,2016
75,Kyle Abbott,5,5,16.0,177,2,0,88.5,11.06,48.0,0,0,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/1105/kyle-abbott,Kings Xi Punjab,28.0,0.0,2016
76,Albie Morkel,2,2,5.0,66,2,0,33.0,13.2,15.0,0,0,Overseas,0,Nan,9.0,0.0,2016
77,Yusuf Pathan,15,4,6.0,33,1,0,33.0,5.5,36.0,0,0,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/96/yusuf-pathan,Kolkata Knight Riders,14.0,0.0,2016
78,Ankit Sharma,3,3,11.0,84,1,0,84.0,7.63,66.0,0,0,Indian,0,Nan,17.0,0.0,2016
79,Stuart Binny,14,11,17.0,134,1,0,134.0,7.88,102.0,0,0,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/148/stuart-binny,Royal Challengers Bangalore,28.0,0.0,2016
80,Parveez Rasool,4,4,14.0,129,1,0,129.0,9.21,84.0,0,0,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/1093/parveez-rasool,Royal Challengers Bangalore,22.0,0.0,2016
81,Pawan Negi,8,5,9.0,84,1,0,84.0,9.33,54.0,0,0,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/53/pawan-negi,Delhi Capitals,11.0,0.0,2016
82,Trent Boult,1,1,4.0,39,1,0,39.0,9.75,24.0,0,0,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/969/trent-boult,Sunrisers Hyderabad,11.0,0.0,2016
83,Rajagopal Sathish,4,3,6.0,59,1,0,59.0,9.83,36.0,0,0,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/78/rajagopal-sathish,Kolkata Knight Riders,8.0,0.0,2016
84,Ashish Reddy,4,2,3.5,39,1,0,39.0,10.17,23.0,0,0,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/34/ashish-reddy,Sunrisers Hyderabad,5.0,0.0,2016
85,Harshal Patel,5,5,14.0,147,1,0,147.0,10.5,84.0,0,0,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/157/harshal-patel,Royal Challengers Bangalore,28.0,0.0,2016
86,Adam Milne,1,1,4.0,43,1,0,43.0,10.75,24.0,0,0,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/434/adam-milne,Royal Challengers Bangalore,7.0,0.0,2016
87,Nitish Rana,4,1,1.0,3,0,0,0.0,3.0,0.0,0,0,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/2738/nitish-rana,Mumbai Indians,0.0,0.0,2016
88,Shreyas Gopal,1,1,3.0,18,0,0,0.0,6.0,0.0,0,0,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/1748/shreyas-gopal,Mumbai Indians,4.0,0.0,2016
89,Kane Williamson,6,1,1.0,7,0,0,0.0,7.0,0.0,0,0,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/440/kane-williamson,Sunrisers Hyderabad,0.0,0.0,2016
90,Anureet Singh,2,2,6.0,43,0,0,0.0,7.16,0.0,0,0,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/412/anureet-singh,Kings Xi Punjab,12.0,0.0,2016
91,Colin Munro,4,2,2.0,15,0,0,0.0,7.5,0.0,0,0,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/773/colin-munro,Kolkata Knight Riders,5.0,0.0,2016
92,Irfan Pathan,4,3,8.0,61,0,0,0.0,7.62,0.0,0,0,Indian,0,Nan,18.0,0.0,2016
93,Murali Vijay,14,1,1.0,8,0,0,0.0,8.0,0.0,0,0,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/7/murali-vijay,Kings Xi Punjab,0.0,0.0,2016
94,Suresh Raina,15,4,10.0,82,0,0,0.0,8.2,0.0,0,0,Indian,0,Nan,15.0,0.0,2016
95,Deepak Chahar,2,2,5.0,41,0,0,0.0,8.2,0.0,0,0,Indian,0,Nan,13.0,0.0,2016
96,Yuvraj Singh,10,5,6.1,52,0,0,0.0,8.43,0.0,0,0,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/113/yuvraj-singh,Sunrisers Hyderabad,7.0,0.0,2016
97,Dale Steyn,1,1,2.0,17,0,0,0.0,8.5,0.0,0,0,Overseas,0,Nan,5.0,0.0,2016
98,Glenn Maxwell,11,7,9.0,80,0,0,0.0,8.88,0.0,0,0,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/282/glenn-maxwell,Kings Xi Punjab,16.0,0.0,2016
99,Swapnil Singh,1,1,3.0,29,0,0,0.0,9.66,0.0,0,0,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/3180/swapnil-singh,Kings Xi Punjab,0.0,0.0,2016
100,Karn Sharma,5,5,16.2,171,0,0,0.0,10.46,0.0,0,0,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/1118/karn-sharma,Sunrisers Hyderabad,19.0,0.0,2016
1,Dwayne Bravo,17,16,52.2,426,26,0,16.38,8.14,12.07,0,0,Overseas,https://www.iplt20.com/teams/chennai-super-kings/squad/25/dwayne-bravo,Chennai Super Kings,88.0,0.0,2015
2,Lasith Malinga,15,15,60.0,444,24,0,18.5,7.4,15.0,1,0,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/211/lasith-malinga,Mumbai Indians,140.0,3.0,2015
3,Yuzvendra Chahal,15,14,46.5,415,23,0,18.04,8.86,12.21,0,0,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/111/yuzvendra-chahal,Royal Challengers Bangalore,90.0,0.0,2015
4,Ashish Nehra,16,16,62.0,449,22,0,20.4,7.24,16.9,1,0,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/115/ashish-nehra,Chennai Super Kings,170.0,0.0,2015
5,Mitchell Starc,13,12,43.0,291,20,0,14.55,6.76,12.9,1,0,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/490/mitchell-starc,Royal Challengers Bangalore,105.0,1.0,2015
6,Harbhajan Singh,15,15,57.0,446,18,0,24.77,7.82,19.0,0,0,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/103/harbhajan-singh,Mumbai Indians,117.0,1.0,2015
7,Bhuvneshwar Kumar,14,14,51.4,407,18,0,22.61,7.87,17.22,0,0,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/116/bhuvneshwar-kumar,Sunrisers Hyderabad,126.0,1.0,2015
8,Mitchell McClenaghan,12,12,47.0,386,18,0,21.44,8.21,15.66,0,0,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/730/mitchell-mcclenaghan,Mumbai Indians,118.0,0.0,2015
9,Harshal Patel,15,14,43.5,328,17,0,19.29,7.48,15.47,0,0,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/157/harshal-patel,Royal Challengers Bangalore,103.0,0.0,2015
10,David Wiese,14,13,42.2,353,16,0,22.06,8.33,15.87,1,0,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/869/david-wiese,Royal Challengers Bangalore,73.0,0.0,2015
11,Nathan Coulter-Nile,11,11,42.3,321,15,0,21.4,7.55,17.0,1,0,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/840/nathan-coulter-nile,Delhi Capitals,117.0,1.0,2015
12,Imran Tahir,10,10,35.3,314,15,0,20.93,8.84,14.2,1,0,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/898/imran-tahir,Delhi Capitals,64.0,0.0,2015
13,Anureet Singh,14,14,51.4,465,15,0,31.0,9.0,20.66,0,0,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/412/anureet-singh,Kings Xi Punjab,105.0,0.0,2015
14,Andre Russell,13,13,40.4,324,14,0,23.14,7.96,17.42,0,0,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/177/andre-russell,Kolkata Knight Riders,94.0,0.0,2015
15,Mohit Sharma,16,16,57.0,481,14,0,34.35,8.43,24.42,0,0,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/1107/mohit-sharma,Chennai Super Kings,121.0,0.0,2015
16,Sandeep Sharma,14,14,50.0,350,13,0,26.92,7.0,23.07,1,0,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/1112/sandeep-sharma,Kings Xi Punjab,142.0,4.0,2015
17,Chris Morris,11,11,42.0,311,13,0,23.92,7.4,19.38,1,0,Overseas,https://www.iplt20.com/teams/rajasthan-royals/squad/836/chris-morris,Rajasthan Royals,113.0,0.0,2015
18,Dhawal Kulkarni,11,11,35.0,277,13,0,21.3,7.91,16.15,0,0,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/101/dhawal-kulkarni,Rajasthan Royals,95.0,1.0,2015
19,Axar Patel,14,14,46.4,392,13,0,30.15,8.4,21.53,0,0,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/1113/axar-patel,Kings Xi Punjab,83.0,0.0,2015
20,Moises Henriques,9,9,25.0,158,11,0,14.36,6.32,13.63,0,0,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/388/moises-henriques,Sunrisers Hyderabad,57.0,0.0,2015
21,Ishwar Pandey,10,10,31.0,223,11,0,20.27,7.19,16.9,0,0,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/1090/ishwar-pandey,Chennai Super Kings,93.0,2.0,2015
22,Piyush Chawla,13,13,35.0,269,11,0,24.45,7.68,19.09,1,0,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/76/piyush-chawla,Kolkata Knight Riders,65.0,0.0,2015
23,Ravindra Jadeja,17,15,42.4,330,11,0,30.0,7.73,23.27,1,0,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/9/ravindra-jadeja,Chennai Super Kings,84.0,0.0,2015
24,Ravichandran Ashwin,14,13,39.0,228,10,0,22.8,5.84,23.4,0,0,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/8/ravichandran-ashwin,Chennai Super Kings,114.0,0.0,2015
25,Morne Morkel,7,7,28.0,206,10,0,20.6,7.35,16.8,0,0,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/169/morne-morkel,Kolkata Knight Riders,76.0,1.0,2015
26,Karn Sharma,14,14,39.5,332,10,0,33.2,8.33,23.9,0,0,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/1118/karn-sharma,Sunrisers Hyderabad,65.0,0.0,2015
27,Jagadeesha Suchith,13,12,39.0,337,10,0,33.7,8.64,23.4,0,0,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/2741/jagadeesha-suchith,Mumbai Indians,70.0,0.0,2015
28,Umesh Yadav,12,12,42.0,382,10,0,38.2,9.09,25.2,0,0,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/59/umesh-yadav,Kolkata Knight Riders,92.0,0.0,2015
29,Brad Hogg,6,6,21.0,144,9,0,16.0,6.85,14.0,1,0,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/231/brad-hogg,Kolkata Knight Riders,50.0,0.0,2015
30,Amit Mishra,12,12,40.1,310,9,0,34.44,7.71,26.77,0,0,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/30/amit-mishra,Delhi Capitals,75.0,0.0,2015
31,Trent Boult,7,7,28.0,236,9,0,26.22,8.42,18.66,0,0,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/969/trent-boult,Sunrisers Hyderabad,71.0,0.0,2015
32,Mitchell Johnson,9,9,35.5,336,9,0,37.33,9.37,23.88,0,0,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/213/mitchell-johnson,Kings Xi Punjab,90.0,1.0,2015
33,Sreenath Aravind,5,5,18.0,132,8,0,16.5,7.33,13.5,1,0,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/162/sreenath-aravind,Royal Challengers Bangalore,47.0,0.0,2015
34,JP Duminy,14,9,17.0,126,8,0,15.75,7.41,12.75,1,0,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/182/jp-duminy,Delhi Capitals,33.0,0.0,2015
35,James Faulkner,13,13,45.0,426,8,0,53.25,9.46,33.75,0,0,Overseas,https://www.iplt20.com/teams/rajasthan-royals/squad/193/james-faulkner,Rajasthan Royals,88.0,1.0,2015
