POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w,Nationality,Player Link,Team,Dots,Maid,Season
8,Sunil Narine,16,16,61.0,467,17,0,27.47,7.65,21.52,0,0,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/203/sunil-narine,Kolkata Knight Riders,137.0,0.0,2018
9,Kuldeep Yadav,16,16,51.2,418,17,0,24.58,8.14,18.11,1,0,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/261/kuldeep-yadav,Kolkata Knight Riders,94.0,0.0,2018
10,Shardul Thakur,13,13,46.4,431,16,0,26.93,9.23,17.5,0,0,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/1745/shardul-thakur,Chennai Super Kings,113.0,1.0,2018
11,Mayank Markande,14,14,44.0,368,15,0,24.53,8.36,17.6,1,0,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/4951/mayank-markande,Mumbai Indians,87.0,0.0,2018
12,Jofra Archer,10,10,38.5,325,15,0,21.66,8.36,15.53,0,0,Overseas,https://www.iplt20.com/teams/rajasthan-royals/squad/3502/jofra-archer,Rajasthan Royals,98.0,0.0,2018
13,Mujeeb Ur Rahman,11,11,41.2,289,14,0,20.64,6.99,17.71,0,0,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/4572/mujeeb-ur-rahman,Kings Xi Punjab,93.0,0.0,2018
14,Shakib Al Hasan,17,17,57.0,456,14,0,32.57,8.0,24.42,0,0,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/201/shakib-al-hasan,Sunrisers Hyderabad,98.0,0.0,2018
15,Mitchell McClenaghan,11,11,40.0,332,14,0,23.71,8.3,17.14,0,0,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/730/mitchell-mcclenaghan,Mumbai Indians,103.0,0.0,2018
16,Piyush Chawla,15,15,49.0,412,14,0,29.42,8.4,21.0,0,0,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/76/piyush-chawla,Kolkata Knight Riders,110.0,0.0,2018
17,Dwayne Bravo,16,16,53.3,533,14,0,38.07,9.96,22.92,0,0,Overseas,https://www.iplt20.com/teams/chennai-super-kings/squad/25/dwayne-bravo,Chennai Super Kings,90.0,1.0,2018
18,Andre Russell,16,15,37.5,355,13,0,27.3,9.38,17.46,0,0,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/177/andre-russell,Kolkata Knight Riders,76.0,0.0,2018
19,Krunal Pandya,14,13,40.1,284,12,0,23.66,7.07,20.08,0,0,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/3183/krunal-pandya,Mumbai Indians,85.0,0.0,2018
20,Amit Mishra,10,10,37.0,264,12,0,22.0,7.13,18.5,0,0,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/30/amit-mishra,Delhi Capitals,74.0,1.0,2018
21,Yuzvendra Chahal,14,14,50.0,363,12,0,30.25,7.26,25.0,0,0,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/111/yuzvendra-chahal,Royal Challengers Bangalore,128.0,1.0,2018
22,Sandeep Sharma,12,12,44.0,333,12,0,27.75,7.56,22.0,0,0,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/1112/sandeep-sharma,Sunrisers Hyderabad,116.0,0.0,2018
23,Lungi Ngidi,7,7,26.0,156,11,0,14.18,6.0,14.18,1,0,Overseas,https://www.iplt20.com/teams/chennai-super-kings/squad/3746/lungi-ngidi,Chennai Super Kings,79.0,2.0,2018
24,Ravindra Jadeja,16,14,41.0,303,11,0,27.54,7.39,22.36,0,0,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/9/ravindra-jadeja,Chennai Super Kings,82.0,0.0,2018
25,Shreyas Gopal,11,10,31.0,236,11,0,21.45,7.61,16.9,1,0,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/1748/shreyas-gopal,Rajasthan Royals,68.0,0.0,2018
26,Krishnappa Gowtham,15,15,40.0,312,11,0,28.36,7.8,21.81,0,0,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/3834/krishnappa-gowtham,Rajasthan Royals,90.0,0.0,2018
